# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
1.200000000000000000e+01 6.822910320712625987e-02 1.041942107461392777e-02 1.095351794944610433e-04
1.205000000000000071e+01 6.779711358229816021e-02 1.038083503505215013e-02 1.076143723876681226e-04
1.209999999999999964e+01 6.735761440604924599e-02 1.033809133294038424e-02 1.073707922319881518e-04
1.215000000000000036e+01 6.690887725199759495e-02 1.028032621625810800e-02 1.069472848540637761e-04
1.219999999999999929e+01 6.645426194202899706e-02 1.021046967833303017e-02 1.068296259651426247e-04
1.225000000000000000e+01 6.599640702965110794e-02 1.013425956005230624e-02 1.069808448453899450e-04
1.230000000000000071e+01 6.553218517791480069e-02 1.005278003274928840e-02 1.067790887228213146e-04
1.234999999999999964e+01 6.505367630892247566e-02 9.965859260060824093e-03 1.065578932595904847e-04
1.240000000000000036e+01 6.455432698950916426e-02 9.874701328300870481e-03 1.071996055589523219e-04
1.244999999999999929e+01 6.403258133278787179e-02 9.778479656307025730e-03 1.076187303450889973e-04
1.250000000000000000e+01 6.349377872882037976e-02 9.679118826114573026e-03 1.061297011076938466e-04
1.255000000000000071e+01 6.295010201102495262e-02 9.582295443667098941e-03 1.037797653996851301e-04
1.259999999999999964e+01 6.241323118138313031e-02 9.490622084899806576e-03 1.019064865296706601e-04
1.265000000000000036e+01 6.188750616188347375e-02 9.403503901208750543e-03 9.970682693324052167e-05
1.269999999999999929e+01 6.137225231542438320e-02 9.319882078771480477e-03 9.690730867274105281e-05
1.275000000000000000e+01 6.086566366031020969e-02 9.237541492711753496e-03 9.462831956995650530e-05
1.280000000000000071e+01 6.036554445426910859e-02 9.155062227793969720e-03 9.262721026474610446e-05
1.284999999999999964e+01 5.987212876749783974e-02 9.073047652533278162e-03 9.070400785454549601e-05
1.290000000000000036e+01 5.938831739827245271e-02 8.994379728822969253e-03 9.023991698510945515e-05
1.294999999999999929e+01 5.891436464690417291e-02 8.921578682600520699e-03 9.134198971237056223e-05
1.300000000000000000e+01 5.844609977553785057e-02 8.854375758208334057e-03 9.247122166156768446e-05
1.305000000000000071e+01 5.797787897250056277e-02 8.790663916212505813e-03 9.250097598237916872e-05
1.309999999999999964e+01 5.750546503427624717e-02 8.727966896649451065e-03 9.169916340848431201e-05
1.315000000000000036e+01 5.702716686548292557e-02 8.664212432191707031e-03 9.027719970834440150e-05
1.319999999999999929e+01 5.654542870146780920e-02 8.597983385482801943e-03 8.846160263465717498e-05
1.325000000000000000e+01 5.606661143067478981e-02 8.528777764132246600e-03 8.704047061442397035e-05
1.330000000000000071e+01 5.559728537693619382e-02 8.457104083662852698e-03 8.687225190070457770e-05
1.334999999999999964e+01 5.514071687326580623e-02 8.383838274362497359e-03 8.761457842020317838e-05
1.340000000000000036e+01 5.469816132756322863e-02 8.309932669652625795e-03 8.869095779084601699e-05
